id,title,body,category,priority
270,Il PC non dà segni di vita,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,media
271,Errore applicativo: aggiornamento,Si verifica aggiornamento durante l'avvio.,Tecnico,media
272,Anomalia statistiche di vendita,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
273,Errore durante la chiusura contabile,Richiedo dettagli sulla procedura di fattura.,Amministrazione,bassa
274,Anomalia statistiche di vendita,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
275,PC non si accende,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
276,Dettagli per fattura,Non è urgente: chiarimenti su fattura.,Amministrazione,bassa
277,Errore applicativo: aggiornamento,Si verifica aggiornamento durante l'avvio.,Tecnico,media
278,Problema proxy,"Non si collega alla proxy, possibile timeout.",Tecnico,media
279,Dettagli per dati anagrafici,Vorrei informazioni su dati anagrafici.,Amministrazione,bassa
280,Dettagli per anagrafica,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
281,Tracking spedizione non aggiornato,"Il attrezzatura ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
282,Richiesta listino aggiornato,Vorrei sapere se è disponibile portale vendite.,Commerciale,bassa
283,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
284,Problema nella chiusura fiscale mensile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
285,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
286,Blocco stampa documenti fiscali,Coda di stampa bloccata; necessità immediata di stampare.,Tecnico,media
287,Impossibile stampare documenti contabili oggi,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
288,Ritardo consegna,Ritardo nella consegna: il materiale doveva arrivare la settimana scorsa.,Commerciale,media
289,Il PC non dà segni di vita,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
290,Problema timeout,"Non si collega alla timeout, possibile timeout.",Tecnico,media
291,Informazioni su listino,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
292,Errore durante la chiusura contabile,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
293,Il computer non parte all'accensione,Il computer della mia postazione non si accende più.,Tecnico,alta
294,Impossibile stampare su stampante,Driver di stampa non installato; impossibile stampare.,Tecnico,media
295,Anomalia statistiche di vendita,Vorrei sapere se è disponibile preventivo.,Commerciale,bassa
296,Informazioni su pagamento,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
297,Errore durante la chiusura contabile,Non è urgente: chiarimenti su nota spese.,Amministrazione,bassa
298,Impossibile stampare documenti contabili oggi,Serve il setup di stampante sul PC assegnato,Tecnico,media
299,Dashboard vendite con valori incoerenti,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
300,Impossibile stampare documenti contabili oggi,Driver di stampa non installato; impossibile stampare.,Tecnico,media
301,Report vendite non aggiornato,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
302,Dettagli per dati di fatturazione,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
303,Errore applicativo: software gestionale abc,Si verifica software gestionale abc durante l'avvio.,Tecnico,media
304,Verifica aggiornamento dati anagrafici,Vorrei informazioni su scadenza fiscale.,Amministrazione,bassa
305,Documenti di offerta,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
306,Informazioni su iban,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
307,Prodotto non consegnato nei tempi previsti,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
308,Richiesta installazione stampante,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
309,Copia documento contabile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
310,Ritardo nella spedizione del prodotto,Il tracking della spedizione prodotto non risulta aggiornato da giorni.,Commerciale,media
311,Il computer non parte all'accensione,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
312,Copia documento contabile,Richiedo dettagli sulla procedura di dati anagrafici.,Amministrazione,bassa
313,Problema nella chiusura fiscale mensile,Vorrei informazioni su nota spese.,Amministrazione,bassa
314,Errore durante stampare con stampante,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
315,Impossibile stampare documenti contabili oggi,Coda di stampa bloccata; necessità immediata di stampare.,Tecnico,media
316,Errore applicativo: non si avvia,Si verifica non si avvia durante l'avvio.,Tecnico,media
317,La postazione non si avvia,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,media
318,Problemi con la consegna dell'ordine,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
319,Richiesta duplicato documento fiscale,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
320,Richiesta listino aggiornato,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
321,Copia documento contabile,Vorrei informazioni su dati fatturazione.,Amministrazione,bassa
322,Copia documento contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
323,Informazioni su pagamento,Non è urgente: chiarimenti su pagamento.,Amministrazione,bassa
324,Il PC non dà segni di vita,Il computer della mia postazione non si accende più.,Tecnico,alta
325,Urgenza stampare: stampante bloccato,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
326,La postazione non si avvia,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
327,Dati di fatturazione non aggiornati,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
328,Informazioni su dati di fatturazione,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
329,Impossibile stampare su stampante,Serve il setup di stampante sul PC assegnato,Tecnico,media
330,Errore durante la chiusura contabile,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
331,Informazioni su preventivo,Serve il listino aggiornato per una proposta commerciale,Commerciale,bassa
332,La postazione non si avvia,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
333,Dashboard vendite con valori incoerenti,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,media
334,Errore applicativo: bsod,Si verifica bsod durante l'avvio.,Tecnico,media
335,Richiesta duplicato documento fiscale,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
336,Informazioni su iban,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
337,Richiesta duplicato documento fiscale,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
338,Prodotto non consegnato nei tempi previsti,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
339,La postazione non si avvia,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
340,Il computer non parte all'accensione,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
341,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
342,Urgenza stampare: stampante bloccato,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
343,Il computer non parte all'accensione,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
344,Copia documento contabile,Vorrei informazioni su rimborso spese.,Amministrazione,bassa
345,PC non si accende,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
346,Dettagli per documenti contabili,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
347,Copia documento contabile,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
348,Richiesta supporto su estratto conto,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
349,Richiesta duplicato documento fiscale,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
350,Richiesta supporto su fattura,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
351,Copia documento contabile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
352,Richiesta duplicato documento fiscale,Richiedo dettagli sulla procedura di rimborso spese.,Amministrazione,bassa
353,Problema connessione,"Non si collega alla connessione, possibile timeout.",Tecnico,media
354,Richiesta supporto su documenti fiscali,Non è urgente: chiarimenti su documenti fiscali.,Amministrazione,bassa
355,Configurazione stampante sulla mia postazione,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
356,Report vendite non aggiornato,Serve il listino aggiornato per una proposta commerciale,Commerciale,media
357,Dati di fatturazione non aggiornati,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
358,Dati di fatturazione non aggiornati,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
359,Dettagli per rimborso spese,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
360,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
361,stampante non risponde,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
362,Mancata consegna prodotto,Tempi di consegna superati per l'ordine prodotto.,Commerciale,media
363,stampante non risponde,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
364,Impossibile stampare documenti contabili oggi,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
365,Anomalia statistiche di vendita,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
366,Richiesta duplicato documento fiscale,Vorrei informazioni su bonifico.,Amministrazione,bassa
367,Tracking spedizione non aggiornato,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
368,Prodotto non consegnato nei tempi previsti,"Il attrezzatura ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
369,Impossibile stampare documenti contabili oggi,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
370,Informazioni su iban,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
371,Richiesta installazione stampante,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
372,Informazioni su nota spese,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
373,Dati di fatturazione non aggiornati,Richiedo dettagli sulla procedura di estratto conto.,Amministrazione,bassa
374,Impossibile stampare su stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
375,Richiesta installazione stampante,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
376,Dati di fatturazione non aggiornati,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
377,Dettagli per anagrafica,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
378,Informazioni su portale vendite,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,bassa
379,Copia documento contabile,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
380,Errore applicativo: crash,Si verifica crash durante l'avvio.,Tecnico,media
381,Errore applicativo: bug,Si verifica bug durante l'avvio.,Tecnico,media
382,Ritardo consegna,"Il prodotto ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
383,stampante non risponde,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
384,Report vendite non aggiornato,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
385,Informazioni su nota spese,Non è urgente: chiarimenti su nota spese.,Amministrazione,bassa
386,Informazioni su statistiche di vendita,Richiedo un'offerta per statistiche di vendita.,Commerciale,bassa
387,Informazioni su documenti contabili,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
388,Prodotto non consegnato nei tempi previsti,Ritardo nella consegna: il materiale doveva arrivare la settimana scorsa.,Commerciale,media
389,Dati di fatturazione non aggiornati,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
390,Documenti di offerta,Vorrei sapere se è disponibile portale vendite.,Commerciale,bassa
391,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
392,Errore applicativo: software gestionale abc,Si verifica software gestionale abc durante l'avvio.,Tecnico,media
393,Errore applicativo: applicativo gestionale,Si verifica applicativo gestionale durante l'avvio.,Tecnico,media
394,Richiesta supporto su nota spese,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
395,Dettagli per anagrafica,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
396,Richiesta permessi aggiuntivi su portale vendite,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
397,Richiesta installazione stampante,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
398,Richiesta duplicato documento fiscale,Richiedo dettagli sulla procedura di bonifico.,Amministrazione,bassa
399,Copia documento contabile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
400,La postazione non si avvia,Il computer della mia postazione non si accende più.,Tecnico,alta
401,Installazione stampante su postazione,Driver di stampa non installato; impossibile stampare.,Tecnico,media
402,Problema proxy,"Non si collega alla proxy, possibile timeout.",Tecnico,media
403,Errore durante stampare con stampante,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
404,Errore applicativo: crash,Si verifica crash durante l'avvio.,Tecnico,media
405,Il computer non parte all'accensione,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,media
406,Copia documento contabile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
407,Mancata consegna ordine #12345,Ritardo nella consegna: il ordine #12345 doveva arrivare la settimana scorsa.,Commerciale,media
408,La postazione non si avvia,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
409,Copia documento contabile,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
410,Ritardo nella spedizione del materiale,"Il materiale ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
411,PC non si accende,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,alta
412,Blocco stampa documenti fiscali,Driver di stampa non installato; impossibile stampare.,Tecnico,media
413,Informazioni su statistiche di vendita,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
414,Copia documento contabile,Richiedo dettagli sulla procedura di nota spese.,Amministrazione,bassa
415,PC non si accende,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,alta
416,Verifica aggiornamento dati anagrafici,Non è urgente: chiarimenti su estratto conto.,Amministrazione,bassa
417,Problema nella chiusura fiscale mensile,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
418,Ritardo nella spedizione del attrezzatura,Il tracking della spedizione attrezzatura non risulta aggiornato da giorni.,Commerciale,media
419,Copia documento contabile,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
420,Mancata consegna merce,"Il merce ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
421,Il PC non dà segni di vita,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
422,Errore applicativo: bsod,Si verifica bsod durante l'avvio.,Tecnico,media
423,Installazione stampante su postazione,Serve il setup di stampante sul PC assegnato,Tecnico,media
424,Informazioni su dati anagrafici,Richiedo dettagli sulla procedura di dati anagrafici.,Amministrazione,bassa
425,Errore applicativo: software gestionale,Si verifica software gestionale durante l'avvio.,Tecnico,media
426,Documenti di offerta,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
427,Dettagli per bonifico,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
428,Dati di fatturazione non aggiornati,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
429,Il PC non dà segni di vita,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,media
430,Problemi con la consegna dell'ordine,Tempi di consegna superati per l'ordine prodotto.,Commerciale,media
431,Informazioni su dati fatturazione,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
432,Prodotto non consegnato nei tempi previsti,Tempi di consegna superati per l'ordine ordine #12345.,Commerciale,media
433,Richiesta kpi vendite,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
434,Richiesta duplicato documento fiscale,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
435,Problemi con la consegna dell'ordine,Ritardo nella consegna: il ordine #12345 doveva arrivare la settimana scorsa.,Commerciale,media
436,Dati di fatturazione non aggiornati,Vorrei informazioni su anagrafica.,Amministrazione,bassa
437,stampante non risponde,Serve il setup di stampante sul PC assegnato,Tecnico,media
438,Richiesta supporto su dati di fatturazione,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
439,Documenti di offerta,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
440,Verifica aggiornamento dati anagrafici,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
441,Tracking spedizione non aggiornato,Il tracking della spedizione prodotto non risulta aggiornato da giorni.,Commerciale,media
442,Richiesta duplicato documento fiscale,Non è urgente: chiarimenti su documenti fiscali.,Amministrazione,bassa
443,Richiesta installazione stampante,Driver di stampa non installato; impossibile stampare.,Tecnico,media
444,Errore applicativo: crash,Si verifica crash durante l'avvio.,Tecnico,media
445,Dashboard vendite con valori incoerenti,Richiedo un'offerta per report vendite.,Commerciale,media
446,La postazione non si avvia,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,media
447,Richiesta duplicato documento fiscale,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
448,Richiesta installazione stampante,Coda di stampa bloccata; necessità immediata di stampare.,Tecnico,media
449,Impossibile stampare documenti contabili oggi,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
450,La postazione non si avvia,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
451,Permessi per modificare condizioni economiche delle offerte,Richiedo un'offerta per listino.,Commerciale,bassa
452,Richiesta supporto su fattura,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
453,Dettagli per rimborso spese,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
454,Richiesta supporto su documenti contabili,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
455,Impossibile stampare su stampante,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
456,Informazioni su iban,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
457,Errore applicativo: bug,Si verifica bug durante l'avvio.,Tecnico,media
458,Urgenza stampare: stampante bloccato,Driver di stampa non installato; impossibile stampare.,Tecnico,media
459,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
460,Richiesta installazione stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
461,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
462,Report vendite non aggiornato,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,media
463,Verifica aggiornamento dati anagrafici,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
464,Richiesta listino aggiornato,Vorrei sapere se è disponibile listino.,Commerciale,bassa
465,Problema timeout,"Non si collega alla timeout, possibile timeout.",Tecnico,media
466,Verifica aggiornamento dati anagrafici,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
467,Prodotto non consegnato nei tempi previsti,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
468,Richiesta duplicato documento fiscale,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
469,Report vendite non aggiornato,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
470,Richiesta dati vendite,Richiedo un'offerta per dati vendite.,Commerciale,bassa
471,Il PC non dà segni di vita,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
472,Errore durante la chiusura contabile,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
473,Copia documento contabile,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
474,Il PC non dà segni di vita,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
475,Errore applicativo: errore,Si verifica errore durante l'avvio.,Tecnico,media
476,Blocco stampa documenti fiscali,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
477,Richiesta listino aggiornato,Serve il listino aggiornato per una proposta commerciale,Commerciale,bassa
478,Documenti di offerta,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
479,Errore durante la chiusura contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura Urgente.,Amministrazione,media
480,PC non si accende,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,alta
481,Impossibile stampare su stampante,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
482,Problema nella chiusura fiscale mensile,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
483,Verifica aggiornamento dati anagrafici,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
484,Informazioni su listino,Vorrei sapere se è disponibile listino.,Commerciale,bassa
485,Prodotto non consegnato nei tempi previsti,Tempi di consegna superati per l'ordine materiale.,Commerciale,media
486,Dettagli per documenti contabili,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
487,Richiesta dashboard vendite,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
488,Anomalia statistiche di vendita,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,bassa
489,Richiesta permessi aggiuntivi su portale vendite,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
490,Anomalia statistiche di vendita,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,bassa
491,Richiesta duplicato documento fiscale,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
492,Ritardo nella spedizione del prodotto,Il corriere non ha ancora consegnato il prodotto come da accordi.,Commerciale,media
493,Dettagli per pagamento,Non è urgente: chiarimenti su pagamento.,Amministrazione,bassa
494,Problema proxy,"Non si collega alla proxy, possibile timeout.",Tecnico,media
495,Richiesta supporto su iban,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
496,Problema nella chiusura fiscale mensile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
497,Informazioni su iban,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
498,stampante non risponde,Serve il setup di stampante sul PC assegnato,Tecnico,media
499,Copia documento contabile,Richiedo dettagli sulla procedura di anagrafica.,Amministrazione,bassa
500,Permessi per modificare condizioni economiche delle offerte,Vorrei sapere se è disponibile preventivo.,Commerciale,bassa
501,Errore applicativo: non si avvia,Si verifica non si avvia durante l'avvio.,Tecnico,media
502,Errore durante stampare con stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
503,Verifica aggiornamento dati anagrafici,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
504,Errore durante la chiusura contabile,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
505,Problema timeout,"Non si collega alla timeout, possibile timeout.",Tecnico,media
506,Errore applicativo: bsod,Si verifica bsod durante l'avvio.,Tecnico,media
507,Impossibile stampare su stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
508,Report vendite non aggiornato,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,media
509,Dati di fatturazione non aggiornati,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
510,Dettagli per anagrafica,Non è urgente: chiarimenti su anagrafica.,Amministrazione,bassa
511,Documenti di offerta,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
512,Richiesta duplicato documento fiscale,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
513,Dati di fatturazione non aggiornati,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
514,Impossibile stampare su stampante,Serve il setup di stampante sul PC assegnato,Tecnico,media
515,Permessi per modificare condizioni economiche delle offerte,Serve il listino aggiornato per una proposta commerciale,Commerciale,bassa
516,Richiesta duplicato documento fiscale,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
517,Dati di fatturazione non aggiornati,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
518,Installazione stampante su postazione,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
519,Richiesta supporto su dati anagrafici,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
520,Tracking spedizione non aggiornato,Il corriere non ha ancora consegnato il attrezzatura come da accordi.,Commerciale,media
521,Verifica aggiornamento dati anagrafici,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
522,Errore applicativo: crash,Si verifica crash durante l'avvio.,Tecnico,media
523,Permessi per modificare condizioni economiche delle offerte,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
524,Errore applicativo: applicativo gestionale,Si verifica applicativo gestionale durante l'avvio.,Tecnico,media
525,Richiesta permessi aggiuntivi su portale vendite,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
526,Configurazione stampante sulla mia postazione,Driver di stampa non installato; impossibile stampare.,Tecnico,media
527,Il computer non parte all'accensione,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
528,La postazione non si avvia,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,media
529,Dati di fatturazione non aggiornati,Richiedo dettagli sulla procedura di iban.,Amministrazione,bassa
530,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
531,Prodotto non consegnato nei tempi previsti,Ritardo nella consegna: il prodotto doveva arrivare la settimana scorsa.,Commerciale,media
532,Il PC non dà segni di vita,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,media
533,Dashboard vendite con valori incoerenti,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,media
534,Ritardo nella spedizione del merce,Il corriere non ha ancora consegnato il merce come da accordi.,Commerciale,media
535,Richiesta supporto su fattura,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
536,Ritardo nella spedizione del materiale,Il corriere non ha ancora consegnato il materiale come da accordi.,Commerciale,media
537,Configurazione stampante sulla mia postazione,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
